Participant,Session,Staircase,Score,Experiment,Time
1,1,1,30.06,No delay,Early
1,1,2,10.4,No delay,Early
1,1,3,13.5,No delay,Early
1,1,4,14.5,No delay,Early
1,1,3,19.097,Delay,Early
1,1,2,16.504,Delay,Early
1,1,1,18.08,Delay,Early
1,1,4,19.448,Delay,Early
1,2,1,13.5,No delay,Early
1,2,2,20.52,No delay,Early
1,2,3,9.54,No delay,Early
1,2,4,12.75,No delay,Early
1,2,2,19.805,Delay,Early
1,2,3,8.407,Delay,Early
1,2,1,19.095,Delay,Early
1,3,1,20.16,No delay,Early
1,3,2,7.95,No delay,Early
1,3,3,7.11,No delay,Early
1,3,4,12.75,No delay,Early
1,3,2,10.272,Delay,Early
1,3,3,7.815,Delay,Early
1,3,1,9.043,Delay,Early
1,13,1,6.03,No delay,Late
1,13,2,7.23,No delay,Late
1,13,3,6.03,No delay,Late
1,13,4,4.61,No delay,Late
1,13,4,4.688,Delay,Late
1,13,3,4.775,Delay,Late
1,13,2,4.359,Delay,Late
1,13,1,3.316,Delay,Late
1,14,1,4.69,No delay,Late
1,14,2,4.36,No delay,Late
1,14,3,5.53,No delay,Late
1,14,4,4.19,No delay,Late
1,14,1,4.953,Delay,Late
1,14,2,4.688,Delay,Late
1,14,3,3.197,Delay,Late
1,14,4,3.567,Delay,Late
1,15,1,5.12,No delay,Late
1,15,2,5.22,No delay,Late
1,15,3,5.32,No delay,Late
1,15,4,3.32,No delay,Late
1,15,4,4.775,Delay,Late
1,15,1,6.28,Delay,Late
1,15,2,4.605,Delay,Late
1,15,3,4.203,Delay,Late
2,1,1,6.27,No delay,Early
2,1,2,4.61,No delay,Early
2,1,3,4.12,No delay,Early
2,1,4,2.57,No delay,Early
2,1,3,9.378,Delay,Early
2,1,1,8.718,Delay,Early
2,1,4,8.719,Delay,Early
2,1,2,6.511,Delay,Early
2,2,1,2.22,No delay,Early
2,2,2,2.3,No delay,Early
2,2,3,2.57,No delay,Early
2,2,4,2.14,No delay,Early
2,2,4,3.027,Delay,Early
2,2,3,5.426,Delay,Early
2,2,1,4.522,Delay,Early
2,2,2,5.425,Delay,Early
2,3,1,2.86,No delay,Early
2,3,2,2.42,No delay,Early
2,3,3,2.3,No delay,Early
2,3,4,2.3,No delay,Early
2,3,3,2.918,Delay,Early
2,3,2,3.139,Delay,Early
2,3,4,2.918,Delay,Early
2,3,1,3.906,Delay,Early
2,13,1,1.78,No delay,Late
2,13,2,1.65,No delay,Late
2,13,3,1.33,No delay,Late
2,13,4,1.42,No delay,Late
2,13,3,2.221,Delay,Late
2,13,1,1.782,Delay,Late
2,13,4,1.689,Delay,Late
2,13,2,1.783,Delay,Late
2,14,1,1.85,No delay,Late
2,14,2,0.96,No delay,Late
2,14,3,0.86,No delay,Late
2,14,4,1.35,No delay,Late
2,14,3,1.883,Delay,Late
2,14,2,2.062,Delay,Late
2,14,4,2.026,Delay,Late
2,14,1,1.85,Delay,Late
2,15,1,1.63,No delay,Late
2,15,2,1.82,No delay,Late
2,15,3,1.14,No delay,Late
2,15,4,1.29,No delay,Late
2,15,4,1.488,Delay,Late
2,15,3,1.657,Delay,Late
2,15,1,1.99,Delay,Late
2,15,2,1.883,Delay,Late
3,1,1,22.46,No delay,Early
3,1,2,21.24,No delay,Early
3,1,3,23.75,No delay,Early
3,1,4,31.1,No delay,Early
3,1,1,15.344,Delay,Early
3,1,2,12.328,Delay,Early
3,1,3,6.277,Delay,Early
3,1,4,4.36,Delay,Early
3,2,1,15.6,No delay,Early
3,2,2,13,No delay,Early
3,2,3,32.34,No delay,Early
3,2,4,21.24,No delay,Early
3,2,4,2.302,Delay,Early
3,2,3,2.567,Delay,Early
3,2,2,3.978,Delay,Early
3,2,1,4.522,Delay,Early
3,3,1,38.8,No delay,Early
3,3,2,20.88,No delay,Early
3,3,3,16.8,No delay,Early
3,3,4,24.06,No delay,Early
3,3,1,2.062,Delay,Early
3,3,2,2.864,Delay,Early
3,3,3,2.343,Delay,Early
3,3,4,1.217,Delay,Early
3,13,1,9.54,No delay,Late
3,13,2,9.37,No delay,Late
3,13,3,8.85,No delay,Late
3,13,4,13,No delay,Late
3,13,2,0.997,Delay,Late
3,13,3,1.286,Delay,Late
3,13,4,0.998,Delay,Late
3,13,1,0.908,Delay,Late
3,14,1,17.1,No delay,Late
3,14,2,6.75,No delay,Late
3,14,3,10.23,No delay,Late
3,14,4,10.4,No delay,Late
3,14,3,0.942,Delay,Late
3,14,1,1.461,Delay,Late
3,14,2,1.049,Delay,Late
3,14,4,1.384,Delay,Late
3,15,1,7.23,No delay,Late
3,15,2,5.93,No delay,Late
3,15,3,5.73,No delay,Late
3,15,4,7.95,No delay,Late
3,15,3,0.801,Delay,Late
3,15,1,0.861,Delay,Late
3,15,2,0.944,Delay,Late
3,15,4,1.07,Delay,Late
4,1,1,15.3,No delay,Early
4,1,2,7.52,No delay,Early
4,1,3,7.81,No delay,Early
4,1,4,6.83,No delay,Early
4,2,1,7.66,No delay,Early
4,2,2,6.99,No delay,Early
4,2,3,5.63,No delay,Early
4,2,4,9.71,No delay,Early
4,3,1,8.39,No delay,Early
4,3,2,3.49,No delay,Early
4,3,3,5.42,No delay,Early
4,3,4,5.93,No delay,Early
4,13,1,3.98,No delay,Late
4,13,2,2.91,No delay,Late
4,13,3,2.91,No delay,Late
4,13,4,3.2,No delay,Late
4,13,4,1.883,Delay,Late
4,13,2,1.333,Delay,Late
4,13,3,1.134,Delay,Late
4,13,1,1.659,Delay,Late
4,14,1,2.02,No delay,Late
4,14,2,2.3,No delay,Late
4,14,3,1.88,No delay,Late
4,14,4,2.91,No delay,Late
4,14,1,1.816,Delay,Late
4,14,3,2.026,Delay,Late
4,14,2,1.239,Delay,Late
4,14,4,1.599,Delay,Late
4,15,1,3.37,No delay,Late
4,15,2,2.81,No delay,Late
4,15,3,2.62,No delay,Late
4,15,4,3.03,No delay,Late
4,15,4,0.943,Delay,Late
4,15,1,1.85,Delay,Late
4,15,3,1.408,Delay,Late
4,15,2,1.383,Delay,Late
5,1,1,5.02,No delay,Early
5,1,2,5.12,No delay,Early
5,1,3,6.75,No delay,Early
