Participant,Part,Source,File,Condition,Staircase,Score
pp2,part A,STpp2.2,st-gb135,12,1,2.22
pp2,part A,STpp2.2,st-gb135,12,2,2.30
pp2,part A,STpp2.2,st-gb135,12,3,2.57
pp2,part A,STpp2.2,st-gb135,12,4,2.14
pp2,part A,STpp2.2,st-gb135,11,1,4.27
pp2,part A,STpp2.2,st-gb135,11,2,4.77
pp2,part A,STpp2.2,st-gb135,11,3,3.84
pp2,part A,STpp2.2,st-gb135,11,4,4.29
pp2,part A,STpp2.2,st-gb165,13,1,3.20
pp2,part A,STpp2.2,st-gb165,13,2,2.86
pp2,part A,STpp2.2,st-gb165,13,3,4.05
pp2,part A,STpp2.2,st-gb165,13,4,3.91
pp2,part A,STpp2.2,st-gb105,14,1,4.12
pp2,part A,STpp2.2,st-gb105,14,2,2.76
pp2,part A,STpp2.2,st-gb105,14,3,1.78
pp2,part A,STpp2.2,st-gb105,14,4,2.22
pp2,part A,STpp2.5,st-gb135,11,1,2.81
pp2,part A,STpp2.5,st-gb135,11,2,2.42
pp2,part A,STpp2.5,st-gb135,11,3,1.82
pp2,part A,STpp2.5,st-gb135,11,4,1.58
pp2,part A,STpp2.5,st-gb135,12,1,3.56
pp2,part A,STpp2.5,st-gb135,12,2,1.68
pp2,part A,STpp2.5,st-gb135,12,3,1.60
pp2,part A,STpp2.5,st-gb135,12,4,1.35
pp2,part A,STpp2.5,st-gb165,13,1,2.66
pp2,part A,STpp2.5,st-gb165,13,2,1.99
pp2,part A,STpp2.5,st-gb165,13,3,1.68
pp2,part A,STpp2.5,st-gb165,13,4,1.95
pp2,part A,STpp2.5,st-gb105,14,1,2.76
pp2,part A,STpp2.5,st-gb105,14,2,2.26
pp2,part A,STpp2.5,st-gb105,14,3,1.78
pp2,part A,STpp2.5,st-gb105,14,4,1.58
pp2,part A,STpp2.4,st-gb135,12,1,1.92
pp2,part A,STpp2.4,st-gb135,12,2,1.63
pp2,part A,STpp2.4,st-gb135,12,3,2.22
pp2,part A,STpp2.4,st-gb135,12,4,1.33
pp2,part A,STpp2.4,st-gb135,11,1,2.66
pp2,part A,STpp2.4,st-gb135,11,2,2.26
pp2,part A,STpp2.4,st-gb135,11,3,2.02
pp2,part A,STpp2.4,st-gb135,11,4,2.52
pp2,part A,STpp2.4,st-gb105,14,1,2.97
pp2,part A,STpp2.4,st-gb105,14,2,1.50
pp2,part A,STpp2.4,st-gb105,14,3,1.88
pp2,part A,STpp2.4,st-gb105,14,4,1.85
pp2,part A,STpp2.4,st-gb165,13,1,3.56
pp2,part A,STpp2.4,st-gb165,13,2,2.52
pp2,part A,STpp2.4,st-gb165,13,3,3.03
pp2,part A,STpp2.4,st-gb165,13,4,3.03
pp2,part A,STpp2.3,st-gb135,11,1,3.32
pp2,part A,STpp2.3,st-gb135,11,2,1.92
pp2,part A,STpp2.3,st-gb135,11,3,2.71
pp2,part A,STpp2.3,st-gb135,11,4,2.42
pp2,part A,STpp2.3,st-gb135,12,1,2.86
pp2,part A,STpp2.3,st-gb135,12,2,2.42
pp2,part A,STpp2.3,st-gb135,12,3,2.30
pp2,part A,STpp2.3,st-gb135,12,4,2.30
pp2,part A,STpp2.3,st-gb105,14,1,2.66
pp2,part A,STpp2.3,st-gb105,14,2,2.20
pp2,part A,STpp2.3,st-gb105,14,3,1.88
pp2,part A,STpp2.3,st-gb105,14,4,2.30
pp2,part A,STpp2.3,st-gb105,13,1,5.32
pp2,part A,STpp2.3,st-gb105,13,2,2.42
pp2,part A,STpp2.3,st-gb105,13,3,3.63
pp2,part A,STpp2.3,st-gb105,13,4,1.95
pp2,part A,STpp2.11,st-gb135,11,1,1.65
pp2,part A,STpp2.11,st-gb135,11,2,1.88
pp2,part A,STpp2.11,st-gb135,11,3,1.92
pp2,part A,STpp2.11,st-gb135,11,4,1.16
pp2,part A,STpp2.11,st-gb135,12,1,2.30
pp2,part A,STpp2.11,st-gb135,12,2,1.16
pp2,part A,STpp2.11,st-gb135,12,3,1.06
pp2,part A,STpp2.11,st-gb135,12,4,1.40
pp2,part A,STpp2.11,st-gb105,14,1,2.10
pp2,part A,STpp2.11,st-gb105,14,2,2.18
pp2,part A,STpp2.11,st-gb105,14,3,2.06
pp2,part A,STpp2.11,st-gb105,14,4,1.45
pp2,part A,STpp2.11,st-gb165,13,1,2.57
pp2,part A,STpp2.11,st-gb165,13,2,1.92
pp2,part A,STpp2.11,st-gb165,13,3,2.18
pp2,part A,STpp2.11,st-gb165,13,4,2.26
pp2,part A,STpp2.10,st-gb135,12,1,1.71
pp2,part A,STpp2.10,st-gb135,12,2,2.26
pp2,part A,STpp2.10,st-gb135,12,3,1.16
pp2,part A,STpp2.10,st-gb135,12,4,1.33
pp2,part A,STpp2.10,st-gb135,11,1,1.95
pp2,part A,STpp2.10,st-gb135,11,2,1.60
pp2,part A,STpp2.10,st-gb135,11,3,1.95
pp2,part A,STpp2.10,st-gb135,11,4,1.10
pp2,part A,STpp2.10,st-gb165,13,1,2.42
pp2,part A,STpp2.10,st-gb165,13,2,2.18
pp2,part A,STpp2.10,st-gb165,13,3,2.06
pp2,part A,STpp2.10,st-gb165,13,4,2.06
pp2,part A,STpp2.10,st-gb105,14,1,1.82
pp2,part A,STpp2.10,st-gb105,14,2,1.60
pp2,part A,STpp2.10,st-gb105,14,3,1.52
pp2,part A,STpp2.10,st-gb105,14,4,1.33
pp2,part A,STpp2.8,st-gb135,12,1,1.75
pp2,part A,STpp2.8,st-gb135,12,2,2.22
pp2,part A,STpp2.8,st-gb135,12,3,1.52
pp2,part A,STpp2.8,st-gb135,12,4,1.58
pp2,part A,STpp2.8,st-gb135,11,1,3.63
pp2,part A,STpp2.8,st-gb135,11,2,1.88
pp2,part A,STpp2.8,st-gb135,11,3,1.40
pp2,part A,STpp2.8,st-gb135,11,4,1.42
pp2,part A,STpp2.8,st-gb105,14,1,1.85
pp2,part A,STpp2.8,st-gb105,14,2,1.85
pp2,part A,STpp2.8,st-gb105,14,3,2.34
pp2,part A,STpp2.8,st-gb105,14,4,2.06
pp2,part A,STpp2.8,st-gb165,13,1,2.66
pp2,part A,STpp2.8,st-gb165,13,2,2.76
pp2,part A,STpp2.8,st-gb165,13,3,2.97
pp2,part A,STpp2.8,st-gb165,13,4,2.18
pp2,part A,STpp2.6,st-gb135,12,1,2.10
pp2,part A,STpp2.6,st-gb135,12,2,1.50
pp2,part A,STpp2.6,st-gb135,12,3,1.22
pp2,part A,STpp2.6,st-gb135,12,4,2.18
pp2,part A,STpp2.6,st-gb135,11,1,1.82
